Bigham2009,Eichstaedt2017,Zhou2013,Yi2010,Simonson2010apriorilist,Simonson2010,Peng2010otherstudyoverlap,Peng2010,Bigham2010,Eichstaedt2014apriorilist,Eichstaedt2014,Eichstaedt2015,Eichstaedt2015apriori,Alkorta-Aranburu2012,Sheinfeldt2012,Huerta-sanchez2013,Huerta-sanchez2013hypoxgeneset,Udpa204,Artigas2015,Crawford2017,Stobdan 2017,O'Brien2019,Arciero2018,Hu2017,yulist1,Yang2017,Bigham2014canidatelist,Bigham2014,Bigham2014diffexprgenes,Witt2019,Gou2014,Li2018,Schweizer2019,Halllist1,halllist2,yulist2,Moore2017,Clemente2014,Horscroft2017,Ortiz-Barahona2010HRElocations,Stobdan2015,Xing2008,Wuren2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL1,ACCSL,ACCN1,EPAS1,ABAT,ANGPTL4,EPAS1 , ELN LIMK1 ,ACAD10,ADAM8,C11orf20 KCNK4 RPS6KA4 VEGFB PRDX5 CCDC88B DNAJC4 Y_RNA BAD ESRRA RP11-783K16.5 AP003774.7 AP003774.1 AP003774.6 TRMT112 MIR1237 RP11-783K16.10 PPP1R14B AP003774.5 GPR137 FKBP2 PLCB3 RP11-783K16.13 RP11-783K16.14 ,ACACB ,ACE,CCDC4, DIO3 ,MYEF2,ABAT,ABCC12,HLA-DMB,PRKAA2,PTTG3P ,ATP6V1E2,ALDOAP2 TEX36,PDE4DIP,SLC8A3,MTHFR,ADRA1B,PRKAA1, Akt,VAV3,5S_rRNA,ERCC6,Col1a2,HIF1A,ABAT,AKT2,ADRBK1,ACTN3,ACTB,VEGFA,EdnrB ,PDP2,EGLN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA1A,ADAM7,ADCY3,C1orf124,ACE,CAMK2D,EGNL1 , EP300 ,ALDH2,AJUBA,CYP39A1 RCAN2 RP3-347E1.2 RP11-795J1.2 RP11-795J1.1 ,AP1S1 ,ACE2,COPB2, DLC1 ,SLC24A5,ACE,ADAMTS3,MIR487A,FGA,C8orf44 ,BHLHE41,ATP6V1E2,NBPF11,ATP1B1,RAP1A,ARNT2,EDNRA, ASAH2, RORA,7SK,SMARCAL1,Itga7,EPAS1,ACACB,TPTE,ANGPT1,ALDH3B1,HPRT1,EGLN1,,,EPAS`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRA1B,AFP,AFF2,DISC1,ACTN4,CYP17A1,STATA5B , EP300 L3MBTL2 RANGAP1 ZC3H7B TEF TOB2 PHF5A ACO2 POLR3H CSDC2 PMM1 D15Wsu75e ,ANAPC7,AKT1,DHX16 ATAT1 C6orf136 TUBB NRM HCG20 FLOT1 MDC1 IER3 PPP1R18 Y_RNA PTMAP1 LINC00243 RPL7P4 MDC1-AS1 ,CHKA ,ADAM8,HGF, DNAJC19 FXR1 ,OAZ2,ACSL6,AKAP4,RP11-538P18.2,NPPB,SGK3 ,BRINP3,C074117.13 IFT172,ASPM,CASR,NEK7,ATP1A1,, ATP1B2, SLC30A9,ABCA13,MEIOB,Kcnma1,HIF3A,ADAM17,TPTE2,ARNT2,ALDH3B1,PPIA,PGK1,,,PPARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK056561,AGO4,AMZ2P1,ATP6V1E2,ADA,CYP2E1,HBB and HBG2 , FAM109A SH2B3 ATXN2 ,ARPC3,ANGPT4,PYGM MEN1 AP001092.5 RASGRP2 AP001092.4 NRXN2 CDC42BPG MAP4K2 SF1 ,FOXN4 ,AGAP3,IRX5, PION ,ADH6,ACTN4,ANKRD26P1,TGFBR3,PRKAA1,C8orf44-SGK3 ,EGLN1,CNTNAP2,ATP2B4,EDN1,EGLN1,ATP1A2,, C1GALT1C1, COL6A1,ACA64,ING4,Birc2,ARNT,ANP32D,RORC,ASF1B,C5orf47,RNA18S,SLC2A3,,,CYP17A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNT2,AHSA2,ANP32D,SPP1,ADAM17,EDNRA,EP300 , FGR IFI6 ,ATP2A2,ANKRD1,NAT6 U73167.7 ZMYND10 SEMA3B HYAL2 SEMA3F CYB561D2 RASSF1 NPRL2 TUSC2 GNAT1 ZMYND10-AS1 SLC38A3 GNAI2 HYAL3 TMEM115 HYAL1 MIR566 U73169.1 U73166.2 C3orf45 IFRD2 ,MUC12 ,AGT,MAPK4, USP14 THOC1 ,ADH1A,ADA,ANXA7 ZMYND17 PPP3CB USP54,AIG1,FGB,VCPIP1 ,EPAS1,COL11A2P1 HLA-DPB2,OBSCN,TLR2,EPAS1,CDH1 ,, CAMLG, HGF,ACADVL,RBBP5,Cp,EGLN2,ARG2,PIK3C2A,BHLHE41,CCZ1,VEGFA,BNIP3L,,,HMOX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP1A1,AK4,APP,PKLR,ADIPOQ,EGLN1,CAMK2D , FLJ35773 ,ATXN2,AQP1,RP11-476J6.1 RP11-479H16.1 ,MUC17 ,AJUBA,ME2, ZNF462 ,ATP6V1G3,ADAM17,ARSE ARSH,ASTN2,FGG,PPP1R42 ,GCH1,CRIPT PIGF,EGLN1,RORC,ADH7,COPS5,, CCDC85A, BHLHE41,ACAP1,DMAP1,Usp28,EGLN1,ARNT2,TXNL1,BRINP3,CHKA,PPARA,NDRG1,,,PKLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP1A2,AKAP6,ARID1B,C4orf7,ADM,EPAS1,EDNRA , FUT3 FUT5 NDUFA11 VMAC CAPS RANBP3 ,BRAP,ARNT,IL17F MCM3 MIR206 RP11-771D21.2 IL17A MIR133B SLC25A20P1 ,MUC3A ,AKR1C3,MRO,ABCA9 ABCA6 ABCA10 ,CEP95,ADIPOQ,ATP11C,CDK14,NOS2,CSPP1 ,MTHFR,CYP3A,SLC5A9,RORA,FGF10,CXCR4,, CEP70, SMURF2,ACAP3,MSH2,Cdk2,EGLN3,BHLHE41,PIK3R1,CBARA1,CPEB3,UCP3,HIST2H2BE,,,HBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17orf54,AL132989.1,ARMC8,PSME2,ADORA1,HMOX2,PTEN , GCC2 LIMS1 RANBP2 FLJ32745 EDAR ,C12orf24,BACH1,CRISP3 RHAG CRISP2 RP3-417L20.3 RP11-719J20.1 PGK2 RP3-417L20.4 ,NDUFS8 ,AKT1,MRPS22,ACACA C17orf78 TADA2A ,mRNA.,ADM,B3GNTL1 METRNL,CRIPT,TBX5,COPS5 ,NOS2A,DENND4C,PKN2,AQP1,HLA-DQB1,EDN1,, CPA1, CASP1,ACTG1,p21,LOC102908477,VHL,CBARA1,PIK3CG,CBS,CPT1A,CPT1B,ERO1L,,,HBG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH1,AL591025.1,ARMCX2,OR10X1,ADORA2A,PPARA,CYP17A1 , GNA14 ,C12orf47,BAD,7SK MUC3A MUC12 RP11-395B7.2 MUC17 TRIM56 RP11-395B7.4 SERPINE1 AP1S1 ,SERPINE1 ,ANGPT4,RORA,ACAD11 NPHP3 DNAJC13 CCRL1 ,TRIP4,ALAS2,BCAS3,CSMD2,BRINP3,TCF24 ,PPARA,EMCN,GDF2,CXCL12,HCAR2,EPO,, Cyclin D, CIC,ADAM8,CCNT2,Pdgfd,EPO,CCL2,PIK3R2,CDH13,CPT1A,PPARA,PDK1,,,HFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
